player,enemy,,,
8,6,,,
speaker,content,illustration,cd,auto
1,这里会有来客可真是稀奇呢,6,15,0
1,我还沉浸在悲伤中<br/>以为没有人能敌得过我们了呢……,4,15,0
0,终于找到你了！,0,15,0
0,将畜生的法则粉碎殆尽的破坏神！<br/>埴安神 袿姬！,3,15,0
0,我为了破坏你制作的偶像<br/>把活着的人类带进来了！,3,15,0
1,你说活着的人类！？,6,15,0
1,这种傻话……<br/>谁会相信你啊,1,15,0
0,可，可不是假的！<br/>我可是地上的人类哦！,6,15,0
0,你到底是什么人？<br/>这里究竟发生了什么？,7,15,0
1,啊，哈，哈<br/>原来如此，看来确实是人类呢,2,15,0
1,但是，把一无所知的<br/>愚蠢的人类骗来这里,4,15,0
1,你到底，是想干什么呢？<br/>狼灵哟,7,15,0
0,……,6,15,0
1,你啊，是那个除了咬人一无是处的<br/>劲牙组的狼吧？,1,15,0
0,……你为什么会知道,5,15,0
1,哼，哼，哼,1,15,0
1,人类啊<br/>你可不要被动物灵骗了,4,15,0
0,诶？,6,15,0
1,我可是从畜生手<br/>中保护人类灵的造型神哦,5,15,0
1,同是人类没有互相伤害的必要<br/>你不这样想吗？,4,15,0
0,同、同是人类……！？,6,15,0
0,不要被骗了，巫女,0,15,0
0,这家伙是破坏自然真理的<br/>邪神啊！,0,15,0
0,这家伙不仅是动物之敌，也是人类之敌！,0,15,0
0,呜、唔唔……<br/>我好像被卷入什么麻烦事了,7,15,0
0,但是，我能够看破你身上散发出的邪恶气场！<br/>总之先打倒你再说！,0,15,0
1,呀，看来你不够聪明呢,5,15,0
1,现在撤退的话我还能放过你<br/>居然连我这个意思都看不出来,1,15,0
1,没办法<br/>没办法呀……,3,15,0
0,糟……糟了！<br/>时间拖得太多了，人类！,6,15,0
0,这家伙要使出造型术了！<br/>动物灵们，都是被这招打败的！,6,15,0
0,先行撤退！<br/>快逃！,0,15,0
1,带着计策前来，却当着敌人的面逃跑……！<br/>真是愚蠢至极,0,15,0
1,你们冒犯了神域<br/>以为还能逃走吗？,1,15,0
1,我要毁灭由肉身构成的你<br/>再用土与水美美地把你重塑一番！,4,15,0
1,你就作为毫无瑕疵的偶像<br/>在未来永劫之中永远被人传颂吧！,3,15,0
